RequirementText_string,Class
system shall refresh display every sixty point zero second ,PE
projected data must readable ten point zero x ten point zero projection screen ninety point zero viewer must able read event activity data viewing distance thirty point zero ,US
product shall available normal business hour long user access client pc system available ninety-nine point zero time first six month operation ,A
projected data must understandable ten point zero x ten point zero projection screen ninety point zero viewer must able determine event activity occuring current time viewing distance one hundred point zero ,US
product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt ,SE
product shall intuitive selfexplanatory ninety point zero new user shall able start display event activity within ninety point zero minute using product ,US
product shall respond fast keep uptodate data display ,PE
look feel system shall conform user interface standard smart device ,LF
user interface shall standard menu button navigation ,LF
system shall professional appearance ,LF
system shall used realtor training ,US
product shall use symbol word naturally understandable realtor community ,US
product shall produce search result acceptable time ,PE
cma report shall returned later sixty point zero second user entered cma report criterion ,PE
product shall synchronize contact appointment acceptable time ,PE
product shall synchronize office system every hour ,PE
product shall available use twenty-four point zero hour per day three hundred and sixty-five point zero day per year ,A
one thousand point zero access system system available nine hundred and ninety-nine point zero time ,A
product shall operate offline mode whenever internet connection unavailable ,FT
product shall allow user view previously downloaded search result cma report appointment ,FT
product shall retain user preference event failure ,FT
one hundred point zero saved user preference shall restored system come back online ,FT
product shall able support multiple remote user ,SC
product shall able support one thousand point zero simultaneous user ,SC
product shall capable handling existing one thousand point zero user number expected grow five point zero time within next year ,SC
product shall installed untrained realtor without recourse separatelyprinted instruction ,US
ninety point zero untrained realtor shall able install product device without printed instruction ,US
registered realtor shall able access system ,SE
every user system shall authenticated authorized ,SE
product shall prevent data incorrect data introduced ,SE
system shall easy use program administrator nursing staff member ,US
user shall able use system one day training ,US
system shall help user avoid making mistake scheduling class clinicals nursing student ,US
number mistake noted student shall decreased fifty point zero first year ,US
system shall intuitive program administrator nursing staff member ,US
two point zero three point zero program administrator nursing staff member shall successfully able use system manage scheduling class clinicals ,US
system shall use symbol word naturally understandable user community ,US
verbiage used within system shall consistent standard english terminology national nursing community ,US
staff member shall able complete set task timely manner ,PE
response time general student management task shall take longer five point zero second response time schedule generation shall take longer thirty point zero second ,PE
system shall available use hour 8am 6pm ,A
system shall achieve ninety-five point zero time ,A
system shall able handle user request usage business hour ,SC
system shall cater ten point zero simultaneous user 9am 5pm ,SC
system shall capable processing one hundred point zero nursing student class next ten point zero year ,SC
